"Section","Question/Label","Datatype","Pre-populated","Conditional Logic","Hover Prompt"
"Health","Last medical visit date","Date","No","Show if 'No health needs' unchecked",""
"Health","Medical Centre","Textarea","No","Show if 'No health needs' unchecked",""
"Health","My medical and health history including any known medical conditions and medications","Table (Condition / Status / Description)","No","Show if 'No health needs' unchecked",""
"Health","Medical and health specialists and supports currently involved","Table (Specialist / Contact Details / Date of Appointment)","No","Show if 'No health needs' unchecked","Record who is currently involved in supporting te tamaiti or rangatahi, and describe their role. Include any scheduled appointments, and consider whether additional appointments or assessments may be needed. Make sure these are included in the plan, with clear actions and timeframes."
"Health","My immunisations are up to date","Checkbox","No","Show if 'No health needs' unchecked",""
"Health","Immunisation details","Textarea","No","Show if immunisations NOT up to date",""
"Health","Last dental check date","Date","No","Show if 'No health needs' unchecked",""
"Health","Next dental appointment","Date","No","Show if 'No health needs' unchecked",""
"Health","Dental notes","Textarea","No","Show if 'No health needs' unchecked",""
"Health","Last vision check date","Date","No","Show if 'No health needs' unchecked",""
"Health","Vision notes","Textarea","No","Show if 'No health needs' unchecked",""
"Health","Last hearing check date","Date","No","Show if 'No health needs' unchecked",""
"Health","Hearing notes","Textarea","No","Show if 'No health needs' unchecked",""
"Health","I have allergies","Checkbox","No","Show if 'No health needs' unchecked",""
"Health","Allergy details","Textarea","No","Show if allergies checked",""
"Health","I have mental health or addiction needs","Checkbox","No","Show if 'No health needs' unchecked",""
"Health","My mental health conditions or needs","Table (Condition / Status / Description)","No","Show if mental health checked",""
"Health","Mental health services and supports currently involved","Table (Service / Contact Details)","No","Show if mental health checked","Record who is currently involved in supporting te tamaiti or rangatahi, and describe their role. Include any scheduled appointments, and consider whether additional appointments or assessments may be needed. Make sure these are included in the plan, with clear actions and timeframes."
"Health","I have or have had issues with alcohol or drug use","Checkbox","No","Show if 'No health needs' unchecked",""
"Health","Details about my alcohol or drug use","Textarea","No","Show if alcohol/drug checked",""
"Health","Alcohol and drug services and supports currently involved","Table (Service / Contact Details)","No","Show if alcohol/drug checked","Record who is currently involved in supporting te tamaiti or rangatahi, and describe their role. Include any scheduled appointments, and consider whether additional appointments or assessments may be needed. Make sure these are included in the plan, with clear actions and timeframes."
"Health","Action Plan (Health)","Action Table","No","",""
"Disability","No needs identified","Checkbox","No","",""
"Disability","I have a disability","Table (Disability / Status / Description)","No","Show if 'No needs identified' unchecked",""
"Disability","Disability services and supports currently involved","Table (Disability services / Supports currently involved)","No","Show if 'No needs identified' unchecked","Record who is currently involved in supporting te tamaiti or rangatahi, and describe their role. Include any scheduled appointments, and consider whether additional appointments or assessments may be needed. Make sure these are included in the plan, with clear actions and timeframes."
"Disability","Action Plan (Disability)","Action Table","No","",""
"Education","My school, kura, early childhood, kōhanga or tertiary education provider is","Free Text","Yes","",""
"Education","Not enrolled","Checkbox","No","",""
"Education","Rationale for not being enrolled","Textarea","No","Show if Not enrolled checked",""
"Education","I am in year/class","Textarea","No","Show if enrolled",""
"Education","My kaiako, teacher, principal, teacher's aid or other people who support me at school are","Textarea","No","Show if enrolled","Consider who te tamaiti or rangatahi feels they can talk to at school when they need help, support, or someone to listen."
"Education","How am I doing at school and anything and support I may require to engage and attend?","Textarea","No","Show if enrolled","Consider the educational progress of te tamaiti or rangatahi, including how they are engaging with learning and participating in school or other learning environments. Identify any specific learning needs, strengths, or challenges, and explore what supports or adjustments may help them thrive academically and socially."
"Education","My employment or apprenticeship is, the hours I work and the contact details are:","Textarea","No","",""
"Education","Action Plan (Education)","Action Table","No","",""
"Transition","Eligible for transition to adulthood","Checkbox","No","",""
"Transition","Has been made aware of their entitlement to Transition Support and the letter has been provided","Checkbox","No","Show if eligible",""
"Transition","Life skills assessment completed date","Date","No","Show if eligible",""
"Transition","Transition hui date","Date","No","Show if eligible",""
"Transition","Transition worker assigned","Dropdown (Yes / No / Pending)","No","Show if eligible",""
"Transition","Transition support provider","Free Text","No","Show if worker assigned = Yes",""
"Transition","Transition worker name","Free Text","No","Show if worker assigned = Yes",""
"Transition","Where I'm planning to live, my proposed living arrangement","Textarea","No","Show if eligible",""
"Transition","My planned financial support or income","Textarea","No","Show if eligible",""
"Transition","My support network to help me with my transition","Textarea","No","Show if eligible",""
"Transition","Bank account","Checkbox","No","Show if eligible",""
"Transition","Photo ID","Checkbox","No","Show if eligible",""
"Transition","IRD number","Checkbox","No","Show if eligible",""
"Transition","Birth certificate","Checkbox","No","Show if eligible",""
"Transition","RealMe account","Checkbox","No","Show if eligible",""
"Transition","Enrolled on electoral roll","Checkbox","No","Show if eligible",""
"Transition","Action Plan (Transition)","Action Table","No","",""
"Youth Justice","What I'm charged with","Free Text","Yes","",""
"Youth Justice","My views and reasons for why I should, or should not, be placed on remand are","Textarea","No","",""
"Youth Justice","My placement views","Dropdown (At residence / With family or whānau / Other)","No","",""
"Youth Justice","My whānau or family, hapū, iwi, community views about my placement on remand are","Textarea","No","",""
"Youth Justice","Professionals who have or will be engaged with to help me with my offending behaviour and my other life goals","Textarea","No","",""
"Youth Justice","Do police oppose bail","Dropdown (Yes / No)","No","",""
"Youth Justice","Reasons police oppose bail","Textarea","No","Show if police oppose = Yes",""
"Youth Justice","The most likely sentence if found guilty","Dropdown (Supervision / Supervision with Activity / Supervision with Residence / Community Work / Mentoring Programme / Alcohol and Drug Rehabilitation / Discharge)","No","",""
"Youth Justice","The concerns and behaviours I need to address on remand are","Textarea","No","",""
"Youth Justice","Community based alternatives to custody that have been considered and why they are not suitable at this time","Textarea","No","",""
"Youth Justice","Action Plan (Youth Justice)","Action Table","No","",""
"Residence","I arrived on","Date","Yes","",""
"Residence","My early leaving date / expected leaving date","Date","No","",""
"Residence","I have been advised of: Grievance / complaints process","Checkbox","No","",""
"Residence","I have been advised of: How to seek advocacy support","Checkbox","No","",""
"Residence","I have been advised of: My rights to contact including (mail, visits, phone calls)","Checkbox","No","",""
"Residence","Have I behaved or acted in a way that has been unsafe to myself and/or others","Table (What was the behaviour? / What helped?)","No","",""
"Residence","What are my preferences and comfort levels regarding my living arrangements, including whether I am okay sharing a room with another young person?","Textarea","No","","Consider how this young person's gender identity or sexual identity may influence their care needs. What supports, affirmations, or considerations are required to ensure their care arrangements are safe, respectful, and aligned with their identity?"
"Residence","Action Plan (Residence)","Action Table","No","",""
"Care Request","Care arrangement needed for this tamaiti / rangatahi","Checkbox","No","",""
"Care Request","CYRAS ID","Free Text","Yes","Show if care needed",""
"Care Request","Referring Site","Free Text","Yes","Show if care needed",""
"Care Request","Types of care needed - Short term emergency","Checkbox","No","Show if care needed",""
"Care Request","Types of care needed - Planned respite","Checkbox","No","Show if care needed",""
"Care Request","Types of care needed - Transition from residence","Checkbox","No","Show if care needed",""
"Care Request","Types of care needed - Long-term/ongoing","Checkbox","No","Show if care needed",""
"Care Request","Describe the care needed","Textarea","No","Show if care needed",""
"Care Request","Requested care type - Full-time care (24/7)","Checkbox","No","Show if care needed",""
"Care Request","Requested care type - Part-time care","Checkbox","No","Show if care needed",""
"Care Request","Requested care type - Day programme","Checkbox","No","Show if care needed",""
"Care Request","Requested care type - After school care","Checkbox","No","Show if care needed",""
"Care Request","Requested care type - Overnight care","Checkbox","No","Show if care needed",""
"Care Request","Requested care type - Other","Free Text","No","Show if care needed",""
"Care Request","Is care requested with other tamariki","Checkbox","No","Show if care needed",""
"Care Request","Rationale for care with other tamariki","Textarea","No","Show if care with others checked",""
"Care Request","Date by which care is needed","Date","No","Show if care needed",""
"Care Request","Priority locations for care","Textarea","No","Show if care needed",""
"Care Request","Proposed length of stay - Up to 2 weeks","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - 2-4 weeks","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - 1-3 months","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - 3-6 months","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - 6-12 months","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - More than 12 months","Checkbox","No","Show if care needed",""
"Care Request","Proposed length of stay - Other","Free Text","No","Show if care needed",""
"Care Request","Whanau care options explored","Textarea","No","Show if care needed",""
"Care Request","Care history","Table (Provider / Dates / Notes)","No","Show if care needed",""
"Care Request","Rationale for why care is needed","Textarea","No","Show if care needed",""
"Care Request","Further comments or concerns for caregivers","Textarea","No","Show if care needed",""
"Care Request","Action Plan (Care Request)","Action Table","No","",""
"Planning With","Plan has been discussed with and includes the views of te tamaiti or rangatahi","Checkbox","No","",""
"Planning With","Date plan discussed","Date","No","",""
"Planning With","Next review date","Date","No","",""
"Planning With","Contributors to this plan","Textarea","No","",""
"Planning With","Plan shared with","Table (Person / Date Shared)","No","",""
"Planning With","Details of how the plan was shared with the caregiver","Textarea","No","",""
"Planning With","Date plan was shared with caregiver","Date","No","",""
"Planning With","The tamaiti or rangatahi has been given a copy of the 'My voice, my rights' booklet","Checkbox","No","",""
"Planning With","Date booklet was provided","Date","No","",""
"Planning With","Who can I contact if I have concerns","Table (Name / Role / Contact Details)","No","",""
"Planning With","Social Worker visits required","Dropdown (Weekly / Fortnightly / Monthly / Other)","No","",""
"Planning With","Reason for visit frequency","Textarea","No","",""
"Planning With","Next social worker visit","Date","No","",""
"Planning With","Action Plan (Planning With)","Action Table","No","",""
"My Plan Summary","All fields","View Only","N/A","N/A","This section is view-only and displays a consolidated summary of all plan data entered in other sections."
